Geographic Area,City,percent_completed_hs,Median Income
AL,Abanda CDP,21.2,11207
AL,Abbeville city,69.1,25615
AL,Adamsville city,78.9,42575
AL,Addison town,81.4,37083
AL,Akron town,68.6,21667
AL,Alabaster city,89.3,71816
AL,Albertville city,72.7,32911
AL,Alexander City city,78.1,29874
AL,Alexandria CDP,88.8,56058
AL,Aliceville city,74.3,21131
AL,Allgood town,48.1,42009
AL,Altoona town,66.9,27566
AL,Andalusia city,81.1,31968
AL,Anderson town,85.7,34792
AL,Anniston city,79.8,29681
AL,Arab city,87.6,40292
AL,Ardmore town,77.7,35670
AL,Argo town,87.5,57212
AL,Ariton town,71.3,24286
AL,Arley town,80.6,28750
AL,Ashford town,83.5,42704
AL,Ashland town,77.9,31438
AL,Ashville city,77.6,40547
AL,Athens city,83.4,47542
AL,Atmore city,73.7,26775
AL,Attalla city,76,37191
AL,Auburn city,94.3,38342
AL,Autaugaville town,71.2,24833
AL,Avon town,82.8,40417
AL,Axis CDP,79.9,55750
AL,Babbie town,81.2,41912
AL,Baileyton town,74.7,31875
AL,Bakerhill town,72.4,31875
AL,Ballplay CDP,80.3,37778
AL,Banks town,73,28750
AL,Bay Minette city,79.1,31576
AL,Bayou La Batre city,58.5,34583
AL,Bear Creek town,76.7,35563
AL,Beatrice town,89.1,18417
AL,Beaverton town,87.9,31875
AL,Belgreen CDP,87,27750
AL,Belk town,63.8,28906
AL,Bellamy CDP,86.5,22132
AL,Belle Fontaine CDP,91.9,34615
AL,Benton town,100, 
AL,Berry town,65.4,25865
AL,Bessemer city,81.5,29615
AL,Billingsley town,71.3,41250
AL,Birmingham city,85.1,31061
AL,Black town,90,41071
AL,Blountsville town,73.1,30152
AL,Blue Ridge CDP,97.6,96333
AL,Blue Springs town,95.6,45313
AL,Boaz city,76.6,35974
AL,Boligee town,79.9,12173
AL,Bon Air town,85.7,23750
AL,Bon Secour CDP,79, 
AL,Boykin CDP,53.7, 
AL,Brantley town,75.1,27870
AL,Brantleyville CDP,85.1,40370
AL,Brent city,73.8,33924
AL,Brewton city,84.5,31033
AL,Bridgeport city,74.9,28571
AL,Brighton city,78.6,22146
AL,Brilliant town,75.9,25893
AL,Bristow Cove CDP,65.1, 
AL,Brook Highland CDP,96.2,60212
AL,Brookside town,78.7,34554
AL,Brookwood town,83.1,51515
AL,Broomtown CDP,66.2,28750
AL,Brundidge city,77.2,23819
AL,Bucks CDP,100, 
AL,Butler town,80.2,28950
AL,Calera city,89.1,62893
AL,Calvert CDP,22.8, 
AL,Camden city,82.8,28375
AL,Camp Hill town,76.6,25118
AL,Carbon Hill city,65.4,25990
AL,Cardiff town,72.7, 
AL,Carlisle-Rockledge CDP,73.1,35938
AL,Carlton CDP,77, 
AL,Carolina town,87.8,50278
AL,Carrollton town,71,27857
AL,Castleberry town,75.9,20677
AL,Catherine CDP,100, 
AL,Cedar Bluff town,77.9,36389
AL,Center Point city,87.1,39944
AL,Centre city,76.7,31268
AL,Centreville city,81.6,41103
AL,Chatom town,76,35365
AL,Chelsea city,93.5,85757
AL,Cherokee town,80.9,28359
AL,Chickasaw city,79.9,30973
AL,Childersburg city,78.8,25948
AL,Choccolocco CDP,89.4,54825
AL,Chunchula CDP,91.2, 
AL,Citronelle city,82.5,48125
AL,Clanton city,76.8,39823
AL,Clay city,92.2,68717
AL,Clayhatchee town,85.3,32656
AL,Clayton town,57.8,25203
AL,Cleveland town,74.4,40909
AL,Clio city,63.1,19539
AL,Coaling town,88.2,54167
AL,Coats Bend CDP,90.9,42821
AL,Coffee Springs town,78,33636
AL,Coffeeville town,71.7,19583
AL,Coker town,89.2,45795
AL,Collinsville town,52,25795
AL,Colony town,77,33063
AL,Columbia town,79,31806
AL,Columbiana city,74.4,32700
AL,Concord CDP,91.3,44620
AL,Coosada town,84.3,47406
AL,Cordova city,79.8,19139
AL,Cottondale CDP,74.9,43875
AL,Cottonwood town,76.3,25313
AL,County Line town,83.9,55313
AL,Courtland town,79.6,33125
AL,Cowarts town,86,43533
AL,Creola city,84.4,51705
AL,Crossville town,70.4,30833
AL,Cuba town,92.1,40673
AL,Cullman city,85.3,38746
AL,Cullomburg CDP,93.4, 
AL,Cusseta town,83.7,52500
AL,Dadeville city,73.7,29368
AL,Daleville city,85.3,45651
AL,Daphne city,95.8,60737
AL,Dauphin Island town,95.8,63594
AL,Daviston town,87.8,47639
AL,Dayton town,100, 
AL,Deatsville town,96.3,78125
AL,Decatur city,82.7,41496
AL,Deer Park CDP,86.3, 
AL,Delta CDP,87, 
AL,Demopolis city,89.1,27656
AL,Detroit town,64.8,24107
AL,Dodge City town,81.7,41346
AL,Dora city,82.3,40769
AL,Dothan city,86.2,42426
AL,Double Springs town,74.5,29063
AL,Douglas town,78.5,29318
AL,Dozier town,79.1,21765
AL,Dunnavant CDP,76,42857
AL,Dutton town,90.6,39688
AL,East Brewton city,83.6,26736
AL,East Point CDP,91.4,62059
AL,Eclectic town,84.2,41304
AL,Edgewater CDP,84.1,26818
AL,Edwardsville town,87,38438
AL,Egypt CDP,84.9,56693
AL,Elba city,76.9,26156
AL,Elberta town,85.8,31190
AL,Eldridge town,75,30000
AL,Elkmont town,78.2,39583
AL,Elmore town,70.5,40150
AL,Emelle town,79.3,36250
AL,Emerald Mountain CDP,90.9,91054
AL,Enterprise city,89.2,54450
AL,Epes town,81.6,25000
AL,Ethelsville town,80.6,40417
AL,Eufaula city,81.5,32845
AL,Eunola CDP,96.1,42023
AL,Eutaw town,73.2,22377
AL,Eva town,91.2,39868
AL,Evergreen city,79.2,18661
AL,Excel town,86,34375
AL,Fairfield city,88.9,34890
AL,Fairford CDP,57.6,32269
AL,Fairhope city,95.4,61489
AL,Fairview town,82,37750
AL,Falkville town,65.1,33846
AL,Faunsdale town,85.7,20625
AL,Fayette city,79.1,30646
AL,Fayetteville CDP,68.5,34632
AL,Fitzpatrick CDP,60.7, 
AL,Five Points town,61.9,45000
AL,Flomaton town,77.3,24406
AL,Florala town,79.6,25673
AL,Florence city,84.4,35731
AL,Foley city,91.5,40938
AL,Forestdale CDP,93.5,48654
AL,Forkland town,74.1,19063
AL,Fort Deposit town,70.5,23963
AL,Fort Payne city,67.7,38833
AL,Fort Rucker CDP,98.8,59265
AL,Franklin town,85,60417
AL,Fredonia CDP,88.6,66591
AL,Frisco City town,77.3,17311
AL,Fruitdale CDP,93.3,63125
AL,Fruithurst town,75.8,35625
AL,Fulton town,76,32083
AL,Fultondale city,85.1,51587
AL,Fyffe town,83.7,42356
AL,Gadsden city,78.3,29136
AL,Gainesville town,76.7,14444
AL,Gallant CDP,83.7,45859
AL,Gantt town,85.6,47000
AL,Garden City town,79.8,31591
AL,Gardendale city,92.2,56132
AL,Gaylesville town,78.4,26818
AL,Geiger town,71.3,45125
AL,Geneva city,78.1,29912
AL,Georgiana town,71.1,19969
AL,Geraldine town,84.2,42292
AL,Gilbertown town,83.8,33750
AL,Glen Allen town,76.5,24531
AL,Glencoe city,86.6,46691
AL,Glenwood town,84.8,36000
AL,Goldville town,86.7,46250
AL,Good Hope town,86.5,47754
AL,Goodwater town,71.6,23809
AL,Gordo town,80.4,30781
AL,Gordon town,66.8,22250
AL,Gordonville town,76.1,18224
AL,Goshen town,71.2,40132
AL,Graham CDP,74,41914
AL,Grand Bay CDP,84.6,48767
AL,Grant town,89.2,55000
AL,Grayson Valley CDP,90.4,46250
AL,Graysville city,79.8,41282
AL,Greensboro city,75,21797
AL,Greenville city,78.4,29741
AL,Grimes town,84.5,31579
AL,Grove Hill town,85.8,31786
AL,Guin city,75.4,23000
AL,Gulfcrest CDP,87.2,68462
AL,Gulf Shores city,92.9,47662
AL,Guntersville city,83.1,39756
AL,Gurley town,74.5,32500
AL,Gu-Win town,87.2,39000
AL,Hackleburg town,76.5,28819
AL,Hackneyville CDP,95.1,60474
AL,Haleburg town,80,54167
AL,Haleyville city,70.7,24291
AL,Hamilton city,82.7,33053
AL,Hammondville town,74.5,43281
AL,Hanceville city,77.7,29231
AL,Harpersville town,80.7,35972
AL,Hartford city,70.6,22094
AL,Hartselle city,91.9,53878
AL,Harvest CDP,90.6,63708
AL,Hatton CDP,83.2, 
AL,Hayden town,83.4,50795
AL,Hayneville town,72.1,18802
AL,Hazel Green CDP,88.2,41938
AL,Headland city,88.1,51822
AL,Heath town,80.3,38333
AL,Heflin city,74.3,25823
AL,Helena city,97.7,84615
AL,Henagar city,71.7,30757
AL,Highland Lake town,94.3,51250
AL,Highland Lakes CDP,97.6,124291
AL,Hillsboro town,74.6,34712
AL,Hissop CDP,73.8,25032
AL,Hobson CDP,63.6, 
AL,Hobson City town,77.3,25563
AL,Hodges town,69.3,29583
AL,Hokes Bluff city,89.2,46042
AL,Hollins CDP,68.2, 
AL,Hollis Crossroads CDP,71.4,34408
AL,Holly Pond town,90.4,44750
AL,Hollywood town,71.3,29306
AL,Holt CDP,75,30446
AL,Holtville CDP,85.6,52713
AL,Homewood city,93.5,61626
AL,Hoover city,95.2,77146
AL,Horn Hill town,66.3,34464
AL,Hueytown city,86.5,42172
AL,Huguley CDP,79.3,42063
AL,Huntsville city,90.2,48775
AL,Hurtsboro town,75.3,19732
AL,Hytop town,70.6,38542
AL,Ider town,80.5,32692
AL,Indian Springs Village city,97.2,96346
AL,Irondale city,87.4,47351
AL,Ivalee CDP,77,50737
AL,Jackson city,85.8,31232
AL,Jacksons' Gap town,67.1,36719
AL,Jacksonville city,89,38903
AL,Jasper city,85.3,39695
AL,Jemison city,77.8,38500
AL,Joppa CDP,67.3,23672
AL,Kansas town,66.4,38542
AL,Kellyton town,71.3,29688
AL,Kennedy town,82.6,35054
AL,Killen town,87.1,55313
AL,Kimberly city,89.4,76771
AL,Kinsey town,75.9,37109
AL,Kinston town,69.5,23571
AL,Ladonia CDP,84.4,32713
AL,La Fayette city,69.7,25666
AL,Lakeview town,92.3,46250
AL,Lake View town,95.7,88594
AL,Lanett city,77.2,25220
AL,Langston town,85.1,31875
AL,Leeds city,87.2,52689
AL,Leesburg town,80.5,41397
AL,Leighton town,71.9,22500
AL,Leroy CDP,99.3,47365
AL,Lester town,89, 
AL,Level Plains town,91.3,65769
AL,Lexington town,87.1,35521
AL,Libertyville town,77.3,44286
AL,Lillian CDP,96.6,51776
AL,Lincoln city,87.5,55605
AL,Linden city,87.1,29722
AL,Lineville city,77.8,31472
AL,Lipscomb city,71,26163
AL,Lisman town,67.2,28750
AL,Littleville town,81.8,49107
AL,Livingston city,86,14426
AL,Loachapoka town,89.5,34688
AL,Lockhart town,82.2,36250
AL,Locust Fork town,81.9,57143
AL,Lookout Mountain CDP,82.3,51058
AL,Louisville town,65.7,34286
AL,Lowndesboro town,90.2,39375
AL,Loxley town,85.3,48000
AL,Luverne city,77.9,29844
AL,Lynn town,74.8,33452
AL,McDonald Chapel CDP,60.3,15588
AL,Macedonia CDP,81.4,
AL,McIntosh town,95.8,48625
AL,McKenzie town,75.5,31500
AL,McMullen town,40,
AL,Madison city,95.7,92960
AL,Madrid town,70.6,38750
AL,Magnolia Springs town,89.1,47614
AL,Malcolm CDP,90.1,
AL,Malvern town,74,37000
AL,Maplesville town,77.3,32788
AL,Marbury CDP,83.8,37672
AL,Margaret town,92.5,64789
AL,Marion city,81.4,31029
AL,Maytown town,88.4,43750
AL,Meadowbrook CDP,94,92193
AL,Megargel CDP,53.1,
AL,Memphis town,29.4,
AL,Mentone town,87.5,38750
AL,Meridianville CDP,86.6,68368
AL,Midfield city,90.2,39678
AL,Midland City town,79.3,27163
AL,Midway town,58.3,24514
AL,Mignon CDP,75.2,32452
AL,Millbrook city,91.3,58330
AL,Millerville CDP,70.7,24861
AL,Millport town,79.6,32443
AL,Millry town,86.1,37813
AL,Minor CDP,88.9,45000
AL,Mobile city,86.9,38776
AL,Monroeville city,82.3,30678
AL,Montevallo city,86.6,34760
AL,Montgomery city,85.5,42927
AL,Moody city,87.9,61049
AL,Moores Mill CDP,91,63911
AL,Mooresville town,83.1,99375
AL,Morris town,84.9,70043
AL,Morrison Crossroads CDP,93.8,21169
AL,Mosses town,60.4,15240
AL,Moulton city,79.2,28843
AL,Moundville town,77.3,39719
AL,Mountain Brook city,99.5,126534
AL,Mount Olive CDP (Coosa County),87.3,
AL,Mount Olive CDP (Jefferson County),92.5,73345
AL,Mount Vernon town,80.8,40750
AL,Movico CDP,81.9,
AL,Mulga town,72,34886
AL,Munford town,87.3,34034
AL,Muscle Shoals city,88.7,48896
AL,Myrtlewood town,72.5,35000
AL,Nanafalia CDP,94,
AL,Nances Creek CDP,79.1,51196
AL,Napier Field town,80.2,32000
AL,Natural Bridge town,65.7,
AL,Nauvoo town,67.2,27000
AL,Nectar town,78.3,35313
AL,Needham town,83.7,56458
AL,Newbern town,74.6,18750
AL,New Brockton town,79.8,41066
AL,New Hope city,84.3,44224
AL,New Market CDP,86.9,59653
AL,New Site town,82.1,42143
AL,Newton town,82.3,41198
AL,New Union CDP,84,36429
AL,Newville town,73,31172
AL,North Courtland town,71.3,24097
AL,North Johns town,75.6,39750
AL,Northport city,90.2,53650
AL,Notasulga town,80.7,37273
AL,Oak Grove town,73,40972
