state,city,povertyRate,perWhite,perBlack,perNativeAm,perAsian,perHis,perCompHighSchool,medIncome
AL,Abanda CDP,78.8,67.2,30.2,0,0,1.6,21.2,11207
AL,Abbeville city,29.1,54.4,41.4,0.1,1,3.1,69.1,25615
AL,Adamsville city,25.5,52.3,44.9,0.5,0.3,2.3,78.9,42575
AL,Addison town,30.7,99.1,0.1,0,0.1,0.4,81.4,37083
AL,Akron town,42,13.2,86.5,0,0,0.3,68.6,21667
AL,Alabaster city,11.2,79.4,13.5,0.4,0.9,9,89.3,71816
AL,Albertville city,26.7,75.9,1.9,0.8,0.5,27.9,72.7,32911
AL,Alexander City city,30.4,62.2,32,0.2,0.9,4.8,78.1,29874
AL,Alexandria CDP,9.7,87.4,10.2,0.3,0.5,0.9,88.8,56058
AL,Aliceville city,41.3,22.6,74.9,0.1,0,1.2,74.3,21131
AL,Allgood town,27.7,79.6,0.6,0.3,0.6,49.4,48.1,42009
AL,Altoona town,27.5,95.8,1.7,0.2,0.2,1.1,66.9,27566
AL,Andalusia city,24.5,70.5,25.9,0.4,1,1.9,81.1,31968
AL,Anderson town,13.8,97.9,0,0.4,0,0.7,85.7,34792
AL,Anniston city,31.7,44.7,51.5,0.3,0.8,2.7,79.8,29681
AL,Arab city,16.7,96.6,0.1,0.6,0.7,1.7,87.6,40292
AL,Ardmore town,19.1,94.3,1.9,0.8,0.9,1.3,77.7,35670
AL,Argo town,8.6,94.1,3.6,0.4,0.3,0.5,87.5,57212
AL,Ariton town,37.6,78.3,19.2,0,0.1,6,71.3,24286
AL,Arley town,31.6,94.4,0,0.6,0.3,1.4,80.6,28750
AL,Ashford town,18.8,79,19.5,0.2,0.2,0.8,83.5,42704
AL,Ashland town,22.4,71.5,24.1,0.3,0.7,5.7,77.9,31438
AL,Ashville city,28.3,75.8,20.3,0.2,0.3,3.8,77.6,40547
AL,Athens city,13,73,17.5,0.6,0.9,8.8,83.4,47542
AL,Atmore city,24.7,40,55.6,1.8,0.3,1.8,73.7,26775
AL,Attalla city,20.3,81.5,12.7,0.4,0.5,4.7,76,37191
AL,Auburn city,31.8,75.1,16.5,0.3,5.3,2.9,94.3,38342
AL,Autaugaville town,24.1,31.3,66.8,0.2,0,0.8,71.2,24833
AL,Avon town,22.2,94.7,1.8,1.8,0,1.3,82.8,40417
AL,Axis CDP,6.8,66.8,26.9,3.2,0.1,0.9,79.9,55750
AL,Babbie town,15.7,96.7,0,0,1.5,0.2,81.2,41912
AL,Baileyton town,28.6,96.2,0.2,0.5,0,1.5,74.7,31875
AL,Bakerhill town,19.1,61.6,35.5,0.7,0,1.1,72.4,31875
AL,Ballplay CDP,7.1,97.5,0.1,0.7,0.3,1,80.3,37778
AL,Banks town,38.2,69.3,24.6,2.2,0,1.1,73,28750
AL,Bay Minette city,26.3,60.4,35.3,1,0.8,1.8,79.1,31576
AL,Bayou La Batre city,30.1,60.3,12.3,0.4,22.8,2.8,58.5,34583
AL,Bear Creek town,25.3,97.1,0.1,0.7,0.2,1.8,76.7,35563
AL,Beatrice town,44.9,23.6,76.1,0.3,0,0,89.1,18417
AL,Beaverton town,8.1,95,5,0,0,1,87.9,31875
AL,Belgreen CDP,28.8,96.1,0,0,0,3.9,87,27750
AL,Belk town,39.1,95.8,2.8,0,0.5,0.9,63.8,28906
AL,Bellamy CDP,42.9,8.3,90.8,0,0.9,1.3,86.5,22132
AL,Belle Fontaine CDP,36.7,92.3,1.6,0.5,2.3,3.6,91.9,34615
AL,Benton town,0,81.6,18.4,0,0,0,100, 
AL,Berry town,30.9,90.8,7.4,0,0,0.8,65.4,25865
AL,Bessemer city,32.9,24.3,71.2,0.3,0.2,4.1,81.5,29615
AL,Billingsley town,20.5,86.1,11.1,2.1,0,0.7,71.3,41250
AL,Birmingham city,30.9,22.3,73.4,0.2,1,3.6,85.1,31061
AL,Black town,12.7,92.3,6.3,0,0,0,90,41071
AL,Blountsville town,41.2,87.3,0.7,1,0.4,15.3,73.1,30152
AL,Blue Ridge CDP,0.5,94.5,2.7,0.7,0.9,1,97.6,96333
AL,Blue Springs town,4,92.7,6.3,0,1,3.1,95.6,45313
AL,Boaz city,19.4,87.3,1.8,0.4,0.7,14.2,76.6,35974
AL,Boligee town,60.3,8.8,90.2,0,0,0.3,79.9,12173
AL,Bon Air town,47.6,80.2,6.9,2.6,0,2.6,85.7,23750
AL,Boykin CDP,53.7,4,95.3,0,0,0.7,53.7, 
AL,Brantley town,20.7,56.1,38.8,0.6,0.5,2,75.1,27870
AL,Brantleyville CDP,19.2,82.1,3.3,0.9,0.5,12.6,85.1,40370
AL,Brent city,17.3,45.1,53.5,0.1,0,2.1,73.8,33924
AL,Brewton city,27.8,54.1,42.6,0.7,0.4,2.2,84.5,31033
AL,Bridgeport city,34.7,84,8.6,1.9,0.2,1.7,74.9,28571
AL,Brighton city,33,6.5,81,1,0,13.8,78.6,22146
AL,Brilliant town,22.5,98.3,0.2,0.1,0.1,1.6,75.9,25893
AL,Bristow Cove CDP,39.7,91.1,0,1.5,0.1,6.6,65.1, 
AL,Brook Highland CDP,11.5,73.6,16.2,0.2,4.4,7.8,96.2,60212
AL,Brookside town,19.2,79.5,18.5,0.3,0.1,0.7,78.7,34554
AL,Brookwood town,10.8,92.2,5.3,0.7,0.1,2,83.1,51515
AL,Broomtown CDP,23.8,98.4,1.6,0,0,0,66.2,28750
AL,Brundidge city,32.4,34.1,62.9,0.5,0.6,3,77.2,23819
AL,Bucks CDP,0,59.4,31.3,3.1,0,3.1,100, 
AL,Butler town,25.3,71.4,26.7,0.2,0.2,0.7,80.2,28950
AL,Calera city,5.8,71.2,23,0.2,0.6,5,89.1,62893
AL,Calvert CDP,79.4,53.1,35.4,6.9,0,2.2,22.8, 
AL,Camden city,31.9,42,57.4,0.1,0,0.7,82.8,28375
AL,Camp Hill town,36.6,10.2,88.4,0.1,0.1,0.7,76.6,25118
AL,Carbon Hill city,32.2,89.4,8.2,0.2,0.1,1.2,65.4,25990
AL,Cardiff town,30,94.5,5.5,0,0,0,72.7, 
AL,Carlisle-Rockledge CDP,17.2,95,0.9,0.9,0.1,3.1,73.1,35938
